blue_wins,first_blood,dragons,heralds,towers_destroyed,wards_placed,wards_destroyed,experience,kills,assists,gold,minions,avg_level,elite_monsters,total_jungle_minions_killed
1,1,1,-1,0,0,1,470,2,1,1151,37,0.20000000000000018,0,2
1,1,1,1,0,2,2,1490,2,0,1463,31,0.20000000000000018,2,0
0,0,-1,-1,0,-1,0,-1307,-2,-4,-1038,-5,-0.20000000000000018,-2,-14
1,1,0,1,0,4,-2,1060,4,2,1424,32,0.1999999999999993,1,-21
1,0,1,0,0,6,-3,721,4,13,527,16,0.40000000000000036,1,-19
0,0,-1,-1,0,-35,1,932,1,3,1807,44,0.40000000000000036,-2,-14
0,1,-1,1,0,27,6,1262,7,6,2856,46,0.20000000000000018,0,-29
0,0,1,-1,0,-1,0,-2454,0,7,-964,-37,-0.40000000000000036,0,0
0,0,-1,1,0,-22,-5,524,-1,0,-178,21,0.20000000000000018,0,4
1,0,1,0,0,2,3,192,1,-1,705,28,0,1,-3
1,0,1,0,0,1,-1,306,0,-2,908,-2,0,1,11
1,0,1,1,0,-11,2,3243,5,9,3558,41,0.40000000000000036,2,12
0,0,-1,0,0,-41,5,-49,-5,-3,-1299,23,-0.20000000000000018,-1,9
1,0,1,0,0,-3,2,-1864,-3,1,-1763,-47,-0.6000000000000005,1,8
1,0,0,0,0,3,-1,2189,6,8,2547,-15,0.8000000000000007,0,23
0,0,1,-1,0,-7,0,-3119,-7,-11,-3685,10,-0.8000000000000007,0,-14
0,1,-1,0,0,48,11,-4682,-4,-4,-3689,-22,-0.7999999999999998,-1,-34
0,1,-1,-1,0,-16,0,803,-2,-4,-764,3,0.40000000000000036,-2,27
1,1,-1,0,0,2,1,2694,7,3,3037,10,0.6000000000000005,-1,10
1,1,-1,0,1,-5,1,2162,0,-4,3545,112,0.6000000000000005,-1,26
0,0,1,0,0,-2,-2,-394,0,3,-1031,-46,-0.20000000000000018,1,-12
0,0,-1,0,0,1,-1,-749,-5,-9,-1796,-1,0,-1,15
1,1,-1,0,0,-1,4,747,1,4,1626,44,-0.20000000000000018,-1,-14
1,0,-1,1,0,28,0,1330,-2,-1,832,64,0.20000000000000018,0,22
1,0,1,1,0,2,-2,2647,5,2,2750,39,0.40000000000000036,2,0
0,0,0,1,0,5,-2,-827,-3,-7,-1524,41,-0.20000000000000018,1,-11
0,1,1,0,0,-4,2,-875,-2,-7,-1370,14,-0.40000000000000036,1,17
0,0,-1,0,0,-3,0,-412,-2,-3,-1506,-22,-0.40000000000000036,-1,-1
0,0,-1,-1,0,-4,1,-718,-1,-3,-1101,-13,-0.40000000000000036,-2,12
0,0,-1,1,0,3,0,2207,5,5,2774,27,0.6000000000000005,0,-3
0,0,-1,-1,0,11,-3,-588,-3,-4,-1806,7,0,-2,-11
0,0,1,-1,0,-4,0,1248,2,4,1265,41,0.20000000000000018,0,-8
1,0,-1,0,0,1,0,-4140,-8,-5,-4443,-27,-1,-1,-20
0,0,-1,0,0,3,-1,967,-2,-6,-927,17,0.20000000000000018,-1,11
1,1,-1,-1,0,-2,1,728,4,6,1425,13,0.20000000000000018,-2,-8
1,0,1,0,0,0,3,1161,2,4,1177,7,0.40000000000000036,1,-11
1,1,1,-1,0,2,-3,410,-5,-12,-1586,20,0.20000000000000018,0,0
0,0,1,1,0,1,0,-2081,-5,-3,-2896,-4,-0.6000000000000005,2,-32
1,0,0,0,0,6,-2,1054,3,1,905,-38,0.20000000000000018,0,8
0,1,0,0,0,-14,0,-3392,-8,-4,-3887,-24,-0.7999999999999998,0,-11
1,1,1,0,0,16,0,2984,6,5,3413,-8,0.6000000000000005,1,8
0,1,1,1,0,-18,0,-1580,-2,-2,-256,-2,-0.40000000000000036,2,-4
